TimeSlice	Time	Comm. Vel. 2	Perc. Position	Ext MN 2	GTC 2	LTC 2
768	0.04608	-0.0503582	-0.0500957	-0.0503822	-0.0597515	-0.0602472
771	0.04626	-0.0503575	-0.0500959	-0.050382	-0.0597519	-0.0602468
774	0.04644	-0.0503568	-0.0500961	-0.0503817	-0.0597523	-0.0602464
777	0.04662	-0.0503562	-0.0500963	-0.0503815	-0.0597527	-0.060246
780	0.0468	-0.0503555	-0.0500965	-0.0503812	-0.0597531	-0.0602456
783	0.04698	-0.0503549	-0.0500967	-0.050381	-0.0597535	-0.0602452
786	0.04716	-0.0503542	-0.0500969	-0.0503807	-0.0597539	-0.0602448
789	0.04734	-0.0503536	-0.0500971	-0.0503805	-0.0597543	-0.0602444
792	0.04752	-0.0503529	-0.0500973	-0.0503802	-0.0597547	-0.0602441
795	0.0477	-0.0503523	-0.0500974	-0.05038	-0.0597551	-0.0602437
798	0.04788	-0.0503517	-0.0500976	-0.0503797	-0.0597555	-0.0602433
801	0.04806	-0.050351	-0.0500978	-0.0503794	-0.0597558	-0.0602429
804	0.04824	-0.0503504	-0.050098	-0.0503792	-0.0597562	-0.0602425
807	0.04842	-0.0503498	-0.0500982	-0.0503789	-0.0597566	-0.0602421
810	0.0486	-0.0503492	-0.0500984	-0.0503787	-0.059757	-0.0602417
813	0.04878	-0.0503486	-0.0500986	-0.0503784	-0.0597574	-0.0602414
816	0.04896	-0.050348	-0.0500988	-0.0503782	-0.0597578	-0.060241
819	0.04914	-0.0503473	-0.050099	-0.0503779	-0.0597582	-0.0602406
822	0.04932	-0.0503467	-0.0500992	-0.0503776	-0.0597586	-0.0602402
825	0.0495	-0.0503461	-0.0500993	-0.0503774	-0.0597589	-0.0602398
828	0.04968	-0.0503455	-0.0500995	-0.0503771	-0.0597593	-0.0602394
831	0.04986	-0.0503449	-0.0500997	-0.0503769	-0.0597597	-0.0602391
834	0.05004	-0.0503443	-0.0500999	-0.0503766	-0.0597601	-0.0602387
837	0.05022	-0.0503437	-0.0501001	-0.0503764	-0.0597605	-0.0602383
840	0.0504	-0.0503432	-0.0501003	-0.0503761	-0.0597609	-0.0602379
843	0.05058	-0.0503426	-0.0501005	-0.0503758	-0.0597612	-0.0602376
846	0.05076	-0.050342	-0.0501007	-0.0503756	-0.0597616	-0.0602372
849	0.05094	-0.0503414	-0.0501008	-0.0503753	-0.059762	-0.0602368
852	0.05112	-0.0503408	-0.050101	-0.0503751	-0.0597624	-0.0602364
855	0.0513	-0.0503403	-0.0501012	-0.0503748	-0.0597628	-0.060236
858	0.05148	-0.0503397	-0.0501014	-0.0503746	-0.0597631	-0.0602357
861	0.05166	-0.0503391	-0.0501016	-0.0503743	-0.0597635	-0.0602353
864	0.05184	-0.0503385	-0.0501018	-0.050374	-0.0597639	-0.0602349
867	0.05202	-0.050338	-0.0501019	-0.0503738	-0.0597643	-0.0602345
870	0.0522	-0.0503374	-0.0501021	-0.0503735	-0.0597647	-0.0602342
873	0.05238	-0.0503368	-0.0501023	-0.0503733	-0.059765	-0.0602338
876	0.05256	-0.0503363	-0.0501025	-0.050373	-0.0597654	-0.0602334
879	0.05274	-0.0503357	-0.0501027	-0.0503727	-0.0597658	-0.060233
882	0.05292	-0.0503351	-0.0501029	-0.0503725	-0.0597662	-0.0602327
885	0.0531	-0.0503346	-0.050103	-0.0503722	-0.0597665	-0.0602323
888	0.05328	-0.050334	-0.0501032	-0.050372	-0.0597669	-0.0602319
891	0.05346	-0.0503335	-0.0501034	-0.0503717	-0.0597673	-0.0602316
894	0.05364	-0.0503329	-0.0501036	-0.0503714	-0.0597677	-0.0602312
897	0.05382	-0.0503324	-0.0501038	-0.0503712	-0.0597681	-0.0602308
900	0.054	-0.0503318	-0.0501039	-0.0503709	-0.0597684	-0.0602304
903	0.05418	-0.0503313	-0.0501041	-0.0503707	-0.0597688	-0.0602301
906	0.05436	-0.0503307	-0.0501043	-0.0503704	-0.0597692	-0.0602297
909	0.05454	-0.0503302	-0.0501045	-0.0503701	-0.0597696	-0.0602293
912	0.05472	-0.0503296	-0.0501046	-0.0503699	-0.0597699	-0.060229
915	0.0549	-0.0503291	-0.0501048	-0.0503696	-0.0597703	-0.0602286
918	0.05508	-0.0503285	-0.050105	-0.0503694	-0.0597707	-0.0602282
921	0.05526	-0.050328	-0.0501052	-0.0503691	-0.059771	-0.0602278
924	0.05544	-0.0503275	-0.0501054	-0.0503688	-0.0597714	-0.0602275
927	0.05562	-0.0503269	-0.0501055	-0.0503686	-0.0597718	-0.0602271
930	0.0558	-0.0503264	-0.0501057	-0.0503683	-0.0597722	-0.0602267
933	0.05598	-0.0503259	-0.0501059	-0.050368	-0.0597725	-0.0602264
936	0.05616	-0.0503253	-0.0501061	-0.0503678	-0.0597729	-0.060226
939	0.05634	-0.0503248	-0.0501062	-0.0503675	-0.0597733	-0.0602256
942	0.05652	-0.0503243	-0.0501064	-0.0503673	-0.0597737	-0.0602253
945	0.0567	-0.0503237	-0.0501066	-0.050367	-0.059774	-0.0602249
948	0.05688	-0.0503232	-0.0501068	-0.0503667	-0.0597744	-0.0602245
951	0.05706	-0.0503227	-0.0501069	-0.0503665	-0.0597748	-0.0602242
954	0.05724	-0.0503221	-0.0501071	-0.0503662	-0.0597751	-0.0602238
957	0.05742	-0.0503216	-0.0501073	-0.0503659	-0.0597755	-0.0602234
960	0.0576	-0.0503211	-0.0501075	-0.0503657	-0.0597759	-0.0602231
963	0.05778	-0.0503205	-0.0501076	-0.0503654	-0.0597763	-0.0602227
966	0.05796	-0.05032	-0.0501078	-0.0503651	-0.0597766	-0.0602223
969	0.05814	-0.0503195	-0.050108	-0.0503649	-0.059777	-0.060222
972	0.05832	-0.050319	-0.0501081	-0.0503646	-0.0597774	-0.0602216
975	0.0585	-0.0503184	-0.0501083	-0.0503644	-0.0597777	-0.0602212
978	0.05868	-0.0503179	-0.0501085	-0.0503641	-0.0597781	-0.0602209
981	0.05886	-0.0503174	-0.0501087	-0.0503638	-0.0597785	-0.0602205
984	0.05904	-0.0503169	-0.0501088	-0.0503636	-0.0597788	-0.0602201
987	0.05922	-0.0503164	-0.050109	-0.0503633	-0.0597792	-0.0602198
990	0.0594	-0.0503158	-0.0501092	-0.050363	-0.0597796	-0.0602194
993	0.05958	-0.0503153	-0.0501093	-0.0503628	-0.0597799	-0.060219
996	0.05976	-0.0503148	-0.0501095	-0.0503625	-0.0597803	-0.0602187
999	0.05994	-0.0503143	-0.0501097	-0.0503622	-0.0597807	-0.0602183
