TimeSlice	Time	Perc. Position	Range of Motion 2	CPG Speed 2
666	0.03996	-0.0500886	-0.06	-0.0580007
669	0.04014	-0.0500889	-0.06	-0.0580007
672	0.04032	-0.0500891	-0.06	-0.0580006
675	0.0405	-0.0500893	-0.06	-0.0580006
678	0.04068	-0.0500895	-0.06	-0.0580006
681	0.04086	-0.0500897	-0.06	-0.0580006
684	0.04104	-0.0500899	-0.06	-0.0580005
687	0.04122	-0.0500902	-0.06	-0.0580005
690	0.0414	-0.0500904	-0.06	-0.0580005
693	0.04158	-0.0500906	-0.06	-0.0580005
696	0.04176	-0.0500908	-0.06	-0.0580005
699	0.04194	-0.050091	-0.06	-0.0580005
702	0.04212	-0.0500912	-0.06	-0.0580004
705	0.0423	-0.0500914	-0.06	-0.0580004
708	0.04248	-0.0500916	-0.06	-0.0580004
711	0.04266	-0.0500919	-0.06	-0.0580004
714	0.04284	-0.0500921	-0.06	-0.0580004
717	0.04302	-0.0500923	-0.06	-0.0580004
720	0.0432	-0.0500925	-0.06	-0.0580004
723	0.04338	-0.0500927	-0.06	-0.0580003
726	0.04356	-0.0500929	-0.06	-0.0580003
729	0.04374	-0.0500931	-0.06	-0.0580003
732	0.04392	-0.0500933	-0.06	-0.0580003
735	0.0441	-0.0500935	-0.06	-0.0580003
738	0.04428	-0.0500937	-0.06	-0.0580003
741	0.04446	-0.0500939	-0.06	-0.0580003
744	0.04464	-0.0500941	-0.06	-0.0580003
747	0.04482	-0.0500943	-0.06	-0.0580003
750	0.045	-0.0500945	-0.06	-0.0580002
753	0.04518	-0.0500947	-0.06	-0.0580002
756	0.04536	-0.0500949	-0.06	-0.0580002
759	0.04554	-0.0500951	-0.06	-0.0580002
762	0.04572	-0.0500953	-0.06	-0.0580002
765	0.0459	-0.0500955	-0.06	-0.0580002
768	0.04608	-0.0500957	-0.06	-0.0580002
771	0.04626	-0.0500959	-0.06	-0.0580002
774	0.04644	-0.0500961	-0.06	-0.0580002
777	0.04662	-0.0500963	-0.06	-0.0580002
780	0.0468	-0.0500965	-0.06	-0.0580002
783	0.04698	-0.0500967	-0.06	-0.0580002
786	0.04716	-0.0500969	-0.06	-0.0580002
789	0.04734	-0.0500971	-0.06	-0.0580002
792	0.04752	-0.0500973	-0.06	-0.0580001
795	0.0477	-0.0500974	-0.06	-0.0580001
798	0.04788	-0.0500976	-0.06	-0.0580001
801	0.04806	-0.0500978	-0.06	-0.0580001
804	0.04824	-0.050098	-0.06	-0.0580001
807	0.04842	-0.0500982	-0.06	-0.0580001
810	0.0486	-0.0500984	-0.06	-0.0580001
813	0.04878	-0.0500986	-0.06	-0.0580001
816	0.04896	-0.0500988	-0.06	-0.0580001
819	0.04914	-0.050099	-0.06	-0.0580001
822	0.04932	-0.0500992	-0.06	-0.0580001
825	0.0495	-0.0500993	-0.06	-0.0580001
828	0.04968	-0.0500995	-0.06	-0.0580001
