Time	BR_Ankle MN E	BR_Ankle MN F	BR_Hip MN E	BR_Hip MN F	BR_Knee MN E	BR_Knee MN F	
0.3744	-0.1	-0.05124936	-0.1	-0.06809713	-0.1	-0.07443047	
0.37648	-0.1	-0.05142691	-0.1	-0.06805632	-0.1	-0.07439772	
0.37856	-0.1	-0.05143753	-0.1	-0.06801604	-0.1	-0.07434256	
0.38064	-0.1	-0.05139416	-0.1	-0.06797626	-0.1	-0.07426722	
0.38272	-0.1	-0.05128429	-0.1	-0.06793699	-0.1	-0.07423364	
0.3848	-0.1	-0.05111871	-0.1	-0.06789823	-0.1	-0.07425258	
0.38688	-0.1	-0.05091431	-0.1	-0.06785996	-0.1	-0.07431599	
0.38896	-0.1	-0.05068558	-0.1	-0.06782217	-0.1	-0.07441115	
0.39104	-0.1	-0.0504428	-0.1	-0.06778487	-0.1	-0.07452612	
0.39312	-0.1	-0.05019271	-0.1	-0.06774805	-0.1	-0.07465157	
0.3952	-0.1	-0.04993956	-0.1	-0.06771169	-0.1	-0.07478077	
0.39728	-0.1	-0.04968601	-0.1	-0.0676758	-0.1	-0.07490923	
0.39936	-0.1	-0.04943371	-0.1	-0.06764037	-0.1	-0.07503412	
0.40144	-0.1	-0.0491837	-0.1	-0.06760539	-0.1	-0.07515375	
0.40352	-0.1	-0.04893663	-0.1	-0.06757087	-0.1	-0.07526726	
0.4056	-0.1	-0.04869295	-0.1	-0.06753678	-0.1	-0.07537426	
0.40768	-0.1	-0.04845295	-0.1	-0.06750312	-0.1	-0.0754747	
0.40976	-0.1	-0.04821686	-0.1	-0.06746991	-0.1	-0.07556874	
0.41184	-0.1	-0.04798482	-0.1	-0.06743711	-0.1	-0.07565662	
0.41392	-0.1	-0.04778079	-0.1	-0.06740474	-0.1	-0.07573865	
0.416	-0.1	-0.04757948	-0.1	-0.06737278	-0.1	-0.07576893	
0.41808	-0.1	-0.04739032	-0.1	-0.06734124	-0.1	-0.07574338	
0.42016	-0.1	-0.04721663	-0.1	-0.0673101	-0.1	-0.07567151	
0.42224	-0.1	-0.04705686	-0.1	-0.06727936	-0.1	-0.07556517	
0.42432	-0.1	-0.04690824	-0.1	-0.06724901	-0.1	-0.07543477	
0.4264	-0.1	-0.04676836	-0.1	-0.06721906	-0.1	-0.07528846	
0.42848	-0.1	-0.04663549	-0.1	-0.06718949	-0.1	-0.07513219	
0.43056	-0.1	-0.04653028	-0.1	-0.0671603	-0.1	-0.07497022	
0.43264	-0.1	-0.04647627	-0.1	-0.06713149	-0.1	-0.07480557	
0.43472	-0.1	-0.0464544	-0.1	-0.06710305	-0.1	-0.07464318	
0.4368	-0.1	-0.04640958	-0.1	-0.06707498	-0.1	-0.07448636	
0.43888	-0.1	-0.04638092	-0.1	-0.06704727	-0.1	-0.07433403	
0.44096	-0.1	-0.0463716	-0.1	-0.06701991	-0.1	-0.07418547	
0.44304	-0.1	-0.04633396	-0.1	-0.06699291	-0.1	-0.07410722	
0.44512	-0.1	-0.04622926	-0.1	-0.06696626	-0.1	-0.07410617	
0.4472	-0.1	-0.04611124	-0.1	-0.06693995	-0.1	-0.07410207	
0.44928	-0.1	-0.04599563	-0.1	-0.06691398	-0.1	-0.07406379	
0.45136	-0.1	-0.04565133	-0.1	-0.06688835	-0.1	-0.07398485	
0.45344	-0.1	-0.04532858	-0.1	-0.06686305	-0.1	-0.07389212	
0.45552	-0.1	-0.04481016	-0.1	-0.06683808	-0.1	-0.07380439	
0.4576	-0.1	-0.04456302	-0.1	-0.06681343	-0.1	-0.07371945	
0.45968	-0.1	-0.04459594	-0.1	-0.06678911	-0.1	-0.07363889	
0.46176	-0.1	-0.04478388	-0.1	-0.06676509	-0.1	-0.073564	
0.46384	-0.1	-0.0450876	-0.1	-0.06674139	-0.1	-0.07348358	
0.46592	-0.1	-0.04545735	-0.1	-0.066718	-0.1	-0.07338832	
0.468	-0.1	-0.04581563	-0.1	-0.06669491	-0.1	-0.07327475	
0.47008	-0.1	-0.04627577	-0.1	-0.06667212	-0.1	-0.0731913	
0.47216	-0.1	-0.04675464	-0.1	-0.06664962	-0.1	-0.07315312	
0.47424	-0.1	-0.04730866	-0.1	-0.06662742	-0.1	-0.07315441	
0.47632	-0.1	-0.04786172	-0.1	-0.0666055	-0.1	-0.0731869	
0.4784	-0.1	-0.04813504	-0.1	-0.06658387	-0.1	-0.07321382	
0.48048	-0.1	-0.0481993	-0.1	-0.06656253	-0.1	-0.07322618	
0.48256	-0.1	-0.04813176	-0.1	-0.06651813	-0.1	-0.07322469	
0.48464	-0.1	-0.04799515	-0.1	-0.06637532	-0.1	-0.07319863	
0.48672	-0.1	-0.04758506	-0.1	-0.06614023	-0.1	-0.07313832	
0.4888	-0.1	-0.04672059	-0.1	-0.06569547	-0.1	-0.07304183	
0.49088	-0.1	-0.04674516	-0.1	-0.06526406	-0.1	-0.07297237	
0.49296	-0.1	-0.04741576	-0.1	-0.06491558	-0.1	-0.07294777	
0.49504	-0.1	-0.04835199	-0.1	-0.06465638	-0.1	-0.07296621	
0.49712	-0.1	-0.04931986	-0.1	-0.06447133	-0.1	-0.07301889	
0.4992	-0.1	-0.05021462	-0.1	-0.0643415	-0.1	-0.07309592	
0.50128	-0.1	-0.05174534	-0.1	-0.06417166	-0.1	-0.07318858	
0.50336	-0.1	-0.05268636	-0.1	-0.06400735	-0.1	-0.07326227	
0.50544	-0.1	-0.05326948	-0.1	-0.06387281	-0.1	-0.07329284	
0.50752	-0.1	-0.05382558	-0.1	-0.0637949	-0.1	-0.07328781	
0.5096	-0.1	-0.05408024	-0.1	-0.06377491	-0.1	-0.07324573	
0.51168	-0.1	-0.05414185	-0.1	-0.06375638	-0.1	-0.07317466	
0.51376	-0.1	-0.05408375	-0.1	-0.06373882	-0.1	-0.07312069	
0.51584	-0.1	-0.0539431	-0.1	-0.06372199	-0.1	-0.07310289	
0.51792	-0.1	-0.05374726	-0.1	-0.06370573	-0.1	-0.0731238	
0.52	-0.1	-0.05351592	-0.1	-0.06368995	-0.1	-0.07317793	
0.52208	-0.1	-0.05326233	-0.1	-0.06367456	-0.1	-0.0732571	
0.52416	-0.1	-0.05299507	-0.1	-0.06365951	-0.1	-0.07335326	
0.52624	-0.1	-0.05271956	-0.1	-0.06364476	-0.1	-0.07345961	
0.52832	-0.1	-0.05243921	-0.1	-0.06363028	-0.1	-0.07357094	
0.5304	-0.1	-0.05218657	-0.1	-0.06366538	-0.1	-0.07368355	
0.53248	-0.1	-0.05193553	-0.1	-0.06370711	-0.1	-0.07374618	
0.53456	-0.1	-0.05176681	-0.1	-0.0637406	-0.1	-0.07375252	
0.53664	-0.1	-0.05166133	-0.1	-0.06376269	-0.1	-0.07373103	
0.53872	-0.1	-0.05159069	-0.1	-0.06377457	-0.1	-0.07369803	
0.5408	-0.1	-0.05136275	-0.1	-0.06379628	-0.1	-0.07366198	
0.54288	-0.1	-0.05091346	-0.1	-0.06381468	-0.1	-0.07360698	
0.54496	-0.1	-0.05048591	-0.1	-0.06382623	-0.1	-0.07352468	
0.54704	-0.1	-0.05010635	-0.1	-0.06383112	-0.1	-0.07342295	
0.54912	-0.1	-0.04986278	-0.1	-0.06381653	-0.1	-0.07331081	
0.5512	-0.1	-0.0502643	-0.1	-0.06379624	-0.1	-0.07321186	
0.55328	-0.1	-0.05130935	-0.1	-0.06379344	-0.1	-0.07313135	
0.55536	-0.1	-0.05244045	-0.1	-0.06379098	-0.1	-0.07313326	
0.55744	-0.1	-0.05308054	-0.1	-0.06376215	-0.1	-0.0731355	
0.55952	-0.1	-0.05337455	-0.1	-0.06372821	-0.1	-0.07312633	
0.5616	-0.1	-0.05350086	-0.1	-0.06369696	-0.1	-0.07312308	
0.56368	-0.1	-0.05338135	-0.1	-0.06369858	-0.1	-0.07313896	
0.56576	-0.1	-0.05356838	-0.1	-0.0636906	-0.1	-0.07319523	
0.56784	-0.1	-0.05449099	-0.1	-0.06369314	-0.1	-0.07322341	
0.56992	-0.1	-0.05575427	-0.1	-0.06368238	-0.1	-0.07325925	
0.572	-0.1	-0.05679846	-0.1	-0.06366744	-0.1	-0.07326078	
