Time	BL_Ankle PF E	BL_Ankle PF F	BL_Hip PF E	BL_Hip PF F	BL_Knee PF E	BL_Knee PF F	
0.34112	-0.05858788	-0.06019236	-0.05858358	-0.0601399	-0.05858138	-0.06015828	
0.3432	-0.05858432	-0.06018888	-0.05858007	-0.06014529	-0.05857789	-0.0601566	
0.34528	-0.0585808	-0.06016932	-0.0585766	-0.06015548	-0.05857445	-0.06015896	
0.34736	-0.05857733	-0.06015867	-0.05857316	-0.06016972	-0.05857104	-0.06015036	
0.34944	-0.05857388	-0.0601432	-0.05856977	-0.06018389	-0.05856766	-0.06014478	
0.35152	-0.05857048	-0.0601255	-0.05856641	-0.06017828	-0.05856433	-0.06013956	
0.3536	-0.05856711	-0.06010894	-0.05856309	-0.06017569	-0.05856103	-0.06012567	
0.35568	-0.05856378	-0.06011441	-0.0585598	-0.06017963	-0.05855777	-0.06011171	
0.35776	-0.05856049	-0.06010929	-0.05855655	-0.06018246	-0.05855454	-0.06011453	
0.35984	-0.05855723	-0.0601058	-0.05855334	-0.06018108	-0.05855135	-0.0601091	
0.36192	-0.05855402	-0.06011059	-0.05855016	-0.0601735	-0.05854819	-0.06010804	
0.364	-0.05855083	-0.06010757	-0.05854702	-0.06016838	-0.05854508	-0.06010238	
0.36608	-0.05854768	-0.06011031	-0.05854391	-0.06016981	-0.05854199	-0.0601098	
0.36816	-0.05854457	-0.06010892	-0.05854084	-0.06015836	-0.05853894	-0.06010675	
0.37024	-0.05854149	-0.06011232	-0.0585378	-0.06014527	-0.05853592	-0.06010086	
0.37232	-0.05853844	-0.06012579	-0.0585348	-0.0601258	-0.05853294	-0.06009633	
0.3744	-0.05853543	-0.06013741	-0.05853183	-0.06012248	-0.05852999	-0.06010631	
0.37648	-0.05853246	-0.06013596	-0.0585289	-0.06012654	-0.05852708	-0.06011577	
0.37856	-0.05852951	-0.06012319	-0.05852599	-0.06012729	-0.0585242	-0.06013389	
0.38064	-0.0585266	-0.06012878	-0.05852312	-0.06012565	-0.05852135	-0.06015111	
0.38272	-0.05852373	-0.06013348	-0.05852028	-0.06012503	-0.05851853	-0.06015883	
0.3848	-0.05852088	-0.06014448	-0.05851748	-0.06013155	-0.05851574	-0.0601512	
0.38688	-0.05851807	-0.06015239	-0.05851471	-0.06014276	-0.05851299	-0.06015	
0.38896	-0.05851529	-0.06016287	-0.05851196	-0.06014944	-0.05851027	-0.06014673	
0.39104	-0.05851254	-0.06016609	-0.05850925	-0.06013792	-0.05850758	-0.06013783	
0.39312	-0.05850982	-0.06015024	-0.05850657	-0.06013222	-0.05850492	-0.06012504	
0.3952	-0.05850714	-0.06013816	-0.05850393	-0.06012652	-0.05850229	-0.06012153	
0.39728	-0.05850448	-0.06013496	-0.05850131	-0.0601135	-0.05849969	-0.06011548	
0.39936	-0.05850186	-0.0601371	-0.05849872	-0.06011226	-0.05849712	-0.06011179	
0.40144	-0.05849927	-0.06014089	-0.05849616	-0.06011903	-0.05849458	-0.06010817	
0.40352	-0.0584967	-0.06014352	-0.05849363	-0.06011754	-0.05849207	-0.06010267	
0.4056	-0.05849417	-0.06015242	-0.05849114	-0.06011044	-0.05848959	-0.06010169	
0.40768	-0.05849166	-0.0601621	-0.05848867	-0.06009717	-0.05848714	-0.06011426	
0.40976	-0.05848918	-0.06016472	-0.05848622	-0.06010588	-0.05848471	-0.06012657	
0.41184	-0.05848674	-0.06016425	-0.05848381	-0.06011471	-0.05848232	-0.0601191	
0.41392	-0.05848432	-0.06014542	-0.05848143	-0.06012881	-0.05847995	-0.06011729	
0.416	-0.05848193	-0.06014316	-0.05847907	-0.0601371	-0.05847761	-0.06012246	
0.41808	-0.05847957	-0.0601286	-0.05847674	-0.06013446	-0.0584753	-0.06012337	
0.42016	-0.05847723	-0.06011438	-0.05847444	-0.06013621	-0.05847301	-0.06013351	
0.42224	-0.05847492	-0.06010827	-0.05847216	-0.06012562	-0.05847076	-0.06013526	
0.42432	-0.05847264	-0.06010714	-0.05846991	-0.06012157	-0.05846852	-0.06012357	
0.4264	-0.05847039	-0.06011036	-0.05846769	-0.06012676	-0.05846632	-0.06011618	
0.42848	-0.05846816	-0.06011919	-0.0584655	-0.0601292	-0.05846414	-0.06011633	
0.43056	-0.05846596	-0.06012634	-0.05846333	-0.06012576	-0.05846199	-0.06012528	
0.43264	-0.05846379	-0.06011496	-0.05846119	-0.06011141	-0.05845986	-0.06012591	
0.43472	-0.05846164	-0.06010073	-0.05845907	-0.06010885	-0.05845775	-0.0601342	
0.4368	-0.05845951	-0.06010652	-0.05845697	-0.06010455	-0.05845568	-0.06012877	
0.43888	-0.05845742	-0.06009383	-0.0584549	-0.06009159	-0.05845363	-0.06012261	
0.44096	-0.05845534	-0.06010179	-0.05845286	-0.06008126	-0.0584516	-0.06011801	
0.44304	-0.05845329	-0.06009487	-0.05845084	-0.06006703	-0.05844959	-0.06011471	
0.44512	-0.05845127	-0.06008423	-0.05844885	-0.06006607	-0.05844761	-0.06010362	
0.4472	-0.05844927	-0.0600719	-0.05844688	-0.06007185	-0.05844566	-0.06009586	
0.44928	-0.05844729	-0.06005597	-0.05844493	-0.06007928	-0.05844373	-0.06008245	
0.45136	-0.05844534	-0.06006334	-0.05844301	-0.06007367	-0.05844181	-0.06006627	
0.45344	-0.05844341	-0.06006251	-0.05844111	-0.06008387	-0.05843993	-0.06006023	
0.45552	-0.0584415	-0.06007775	-0.05843923	-0.06007884	-0.05843807	-0.06005981	
0.4576	-0.05843962	-0.06007575	-0.05843737	-0.06006903	-0.05843622	-0.06007119	
0.45968	-0.05843776	-0.06006574	-0.05843554	-0.06005772	-0.0584344	-0.06008875	
0.46176	-0.05843592	-0.06005144	-0.05843373	-0.06006839	-0.05843261	-0.06010776	
0.46384	-0.05843411	-0.06004399	-0.05843194	-0.06006301	-0.05843083	-0.06010516	
0.46592	-0.05843231	-0.06003962	-0.05843017	-0.06005272	-0.05842908	-0.06010935	
