Time	BL_Ankle MN E	BL_Ankle MN F	BL_Hip MN E	BL_Hip MN F	BL_Knee MN E	BL_Knee MN F	
0.24128	-0.06251816	-0.1	-0.0687682	-0.1	-0.05615691	-0.09987901	
0.24336	-0.06246842	-0.1	-0.06867135	-0.1	-0.05606876	-0.09987798	
0.24544	-0.06238486	-0.1	-0.06857575	-0.1	-0.05593212	-0.09987696	
0.24752	-0.06227615	-0.1	-0.06848138	-0.1	-0.05584995	-0.09987589	
0.2496	-0.06224478	-0.1	-0.06838823	-0.1	-0.05574432	-0.09987487	
0.25168	-0.06220752	-0.1	-0.06829628	-0.1	-0.05510237	-0.09987418	
0.25376	-0.06207262	-0.1	-0.06820551	-0.1	-0.05387856	-0.09987352	
0.25584	-0.06171597	-0.1	-0.06811591	-0.1	-0.05291204	-0.09987267	
0.25792	-0.06132851	-0.1	-0.06802747	-0.1	-0.05231791	-0.09987161	
0.26	-0.06097756	-0.1	-0.06794016	-0.1	-0.05201489	-0.09987032	
0.26208	-0.06067813	-0.1	-0.06785397	-0.1	-0.05190368	-0.09986887	
0.26416	-0.06042586	-0.1	-0.06776889	-0.1	-0.05190928	-0.09986731	
0.26624	-0.06021116	-0.1	-0.0676849	-0.1	-0.05198222	-0.09986566	
0.26832	-0.06002461	-0.1	-0.067602	-0.1	-0.05209151	-0.09986397	
0.2704	-0.05985853	-0.1	-0.06752016	-0.1	-0.05221814	-0.09986228	
0.27248	-0.05970724	-0.1	-0.06743936	-0.1	-0.05235061	-0.09986059	
0.27456	-0.05956667	-0.1	-0.0673596	-0.1	-0.0524821	-0.09985893	
0.27664	-0.05943399	-0.1	-0.06728087	-0.1	-0.0526087	-0.09985731	
0.27872	-0.0593073	-0.1	-0.06720315	-0.1	-0.05272828	-0.09985571	
0.2808	-0.05918529	-0.1	-0.06712642	-0.1	-0.05283984	-0.09985416	
0.28288	-0.05908647	-0.1	-0.06705067	-0.1	-0.0530423	-0.09985264	
0.28496	-0.05897293	-0.1	-0.0669759	-0.1	-0.05314619	-0.09985117	
0.28704	-0.05885249	-0.1	-0.06690209	-0.1	-0.05312057	-0.09985	
0.28912	-0.05873704	-0.1	-0.06682921	-0.1	-0.05300105	-0.09984923	
0.2912	-0.05862467	-0.1	-0.06675728	-0.1	-0.0528164	-0.09984867	
0.29328	-0.05854173	-0.1	-0.06668626	-0.1	-0.05262264	-0.09984823	
0.29536	-0.0584779	-0.1	-0.06661616	-0.1	-0.05240714	-0.09984777	
0.29744	-0.05841851	-0.1	-0.06654694	-0.1	-0.05217731	-0.09984726	
0.29952	-0.05835857	-0.1	-0.06647862	-0.1	-0.05194073	-0.09984669	
0.3016	-0.05829693	-0.1	-0.06641117	-0.1	-0.05170235	-0.09984608	
0.30368	-0.05823379	-0.1	-0.06634458	-0.1	-0.05146497	-0.09984545	
0.30576	-0.05816971	-0.1	-0.06627885	-0.1	-0.05123013	-0.09984478	
0.30784	-0.05810522	-0.1	-0.06621396	-0.1	-0.05099865	-0.09984411	
0.30992	-0.05804073	-0.1	-0.0661499	-0.1	-0.050771	-0.09984344	
0.312	-0.05797654	-0.1	-0.06608666	-0.1	-0.0505474	-0.09984277	
0.31408	-0.05791284	-0.1	-0.06602423	-0.1	-0.05032799	-0.09984211	
0.31616	-0.05784975	-0.1	-0.0659626	-0.1	-0.05011284	-0.09984145	
0.31824	-0.05778734	-0.1	-0.06590176	-0.1	-0.04990198	-0.0998408	
0.32032	-0.05772567	-0.1	-0.06584169	-0.1	-0.04969542	-0.09984016	
0.3224	-0.05766475	-0.1	-0.0657824	-0.1	-0.04949317	-0.09983953	
0.32448	-0.0576046	-0.1	-0.06572387	-0.1	-0.04929522	-0.09983891	
