Time	BR_Ankle PF E	BR_Ankle PF F	BR_Hip PF E	BR_Hip PF F	BR_Knee PF E	BR_Knee PF F	
0.47216	-0.06008724	-0.05842495	-0.06009607	-0.05842545	-0.06011418	-0.05842495	
0.47424	-0.06007798	-0.05842327	-0.06009156	-0.05842377	-0.06011073	-0.05842327	
0.47632	-0.06007842	-0.05842161	-0.06008106	-0.0584221	-0.06011749	-0.05842161	
0.4784	-0.06008155	-0.05841997	-0.06008113	-0.05842045	-0.06012383	-0.05841997	
0.48048	-0.06007282	-0.05841835	-0.06008541	-0.05841883	-0.06011038	-0.05841834	
0.48256	-0.06007145	-0.05841675	-0.06009372	-0.05841722	-0.06011199	-0.05841674	
0.48464	-0.06006911	-0.05841517	-0.06009837	-0.05841563	-0.06011774	-0.05841516	
0.48672	-0.06006971	-0.0584136	-0.06008653	-0.05841406	-0.06012154	-0.0584136	
0.4888	-0.06007034	-0.05841206	-0.06008746	-0.05841251	-0.06012386	-0.05841206	
0.49088	-0.06006393	-0.05841054	-0.06008565	-0.05841098	-0.0601107	-0.05841053	
0.49296	-0.06007218	-0.05840903	-0.06008325	-0.05840947	-0.06010918	-0.05840903	
0.49504	-0.06008003	-0.05840755	-0.0600804	-0.05840798	-0.06010065	-0.05840754	
0.49712	-0.06007729	-0.05840608	-0.06008172	-0.05840651	-0.06010681	-0.05840607	
0.4992	-0.0600788	-0.05840463	-0.06008093	-0.05840505	-0.06009175	-0.05840462	
0.50128	-0.06008421	-0.05840319	-0.06008577	-0.05840361	-0.0600733	-0.05840319	
0.50336	-0.06008551	-0.05840178	-0.0600884	-0.0584022	-0.06006932	-0.05840178	
0.50544	-0.06007336	-0.05840039	-0.06009204	-0.05840079	-0.0600753	-0.05840038	
0.50752	-0.06007827	-0.05839901	-0.0600841	-0.05839941	-0.0600726	-0.058399	
0.5096	-0.0600782	-0.05839764	-0.06007472	-0.05839804	-0.06006794	-0.05839764	
0.51168	-0.06008057	-0.0583963	-0.0600733	-0.05839669	-0.06006899	-0.05839629	
0.51376	-0.06007035	-0.05839497	-0.0600629	-0.05839536	-0.06007934	-0.05839496	
